id,left,top,right,bottom,lon,lat,area,areatotal,areatotal2,GINDEX,DSIG,OUTLETG,MASK,NLDAS_ID
13150,-128.375000000000000,53.375000000000000,-128.250000000000000,53.250000000000000,-128.312500000000000,53.312500000000000,115430772.124530613422394,65150000.000000007450581,115430772.124530613422394,17709,18060,18059,1,x110y51
13151,-128.375000000000000,53.250000000000000,-128.250000000000000,53.125000000000000,-128.312500000000000,53.187500000000000,115768508.061511665582657,148690000.000000000000000,115768508.061511665582657,17357,17004,17004,1,x110y50
13152,-128.375000000000000,53.125000000000000,-128.250000000000000,53.000000000000000,-128.312500000000000,53.062500000000000,116105692.981484830379486,266300000.000000000000000,232548018.261024594306946,17005,17004,17004,1,x110y49
13153,-128.375000000000000,53.000000000000000,-128.250000000000000,52.875000000000000,-128.312500000000000,52.937500000000000,116442325.279539749026299,71410000.000000000000000,116442325.279539749026299,16653,17005,17004,1,x110y48
13154,-128.375000000000000,52.875000000000000,-128.250000000000000,52.750000000000000,-128.312500000000000,52.812500000000000,116778403.353440448641777,167950000.000000000000000,116778403.353440448641777,16301,16300,16300,1,x110y47
13155,-128.375000000000000,52.750000000000000,-128.250000000000000,52.625000000000000,-128.312500000000000,52.687500000000000,117113925.603566139936447,86910000.000000000000000,117113925.603566139936447,15949,-1,15949,2,x110y46
13156,-128.375000000000000,52.625000000000000,-128.250000000000000,52.500000000000000,-128.312500000000000,52.562500000000000,117448890.432960584759712,160650000.000000000000000,117448890.432960584759712,15597,-1,15597,2,x110y45
13157,-128.375000000000000,52.500000000000000,-128.250000000000000,52.375000000000000,-128.312500000000000,52.437500000000000,117783296.247302532196045,114110000.000000000000000,117783296.247302532196045,15245,-1,15245,2,x110y44
13158,-128.375000000000000,52.375000000000000,-128.250000000000000,52.250000000000000,-128.312500000000000,52.312500000000000,118117141.454945027828217,111270000.000000000000000,118117141.454945027828217,14893,-1,14893,2,x110y43
13159,-128.375000000000000,52.250000000000000,-128.250000000000000,52.125000000000000,-128.312500000000000,52.187500000000000,118450424.466895774006844,116850000.000000014901161,118450424.466895774006844,14541,-1,14541,2,x110y42
13170,-128.375000000000000,50.875000000000000,-128.250000000000000,50.750000000000000,-128.312500000000000,50.812500000000000,122078980.926917016506195,198160000.000000000000000,122078980.926917016506195,10669,-1,10669,2,x110y31
13171,-128.375000000000000,50.750000000000000,-128.250000000000000,50.625000000000000,-128.312500000000000,50.687500000000000,122405394.631356149911880,189900000.000000000000000,367542014.992237448692322,10317,-1,10317,3,x110y30
13269,-128.250000000000000,53.500000000000000,-128.125000000000000,53.375000000000000,-128.187500000000000,53.437500000000000,115092486.778018191456795,1379510000.000000000000000,1376701734.934527158737183,18062,-1,18062,3,x111y52
13270,-128.250000000000000,53.375000000000000,-128.125000000000000,53.250000000000000,-128.187500000000000,53.312500000000000,115430772.124530613422394,256360000.000000000000000,115430772.124530613422394,17710,-1,17710,2,x111y51
13271,-128.250000000000000,53.250000000000000,-128.125000000000000,53.125000000000000,-128.187500000000000,53.187500000000000,115768508.061511665582657,176150000.000000000000000,347642709.104508161544800,17358,-1,17358,3,x111y50
13272,-128.250000000000000,53.125000000000000,-128.125000000000000,53.000000000000000,-128.187500000000000,53.062500000000000,116105692.981484830379486,40750000.000000000000000,116105692.981484830379486,17006,17358,17358,1,x111y49
13273,-128.250000000000000,53.000000000000000,-128.125000000000000,52.875000000000000,-128.187500000000000,52.937500000000000,116442325.279539749026299,93690000.000000000000000,116442325.279539749026299,16654,-1,16654,2,x111y48
13274,-128.250000000000000,52.875000000000000,-128.125000000000000,52.750000000000000,-128.187500000000000,52.812500000000000,116778403.353440448641777,159320000.000000000000000,116778403.353440448641777,16302,-1,16302,2,x111y47
13275,-128.250000000000000,52.750000000000000,-128.125000000000000,52.625000000000000,-128.187500000000000,52.687500000000000,117113925.603566139936447,158720000.000000000000000,117113925.603566139936447,15950,-1,15950,2,x111y46
13276,-128.250000000000000,52.625000000000000,-128.125000000000000,52.500000000000000,-128.187500000000000,52.562500000000000,117448890.432960584759712,77750000.000000000000000,117448890.432960584759712,15598,-1,15598,2,x111y45
13277,-128.250000000000000,52.500000000000000,-128.125000000000000,52.375000000000000,-128.187500000000000,52.437500000000000,117783296.247302532196045,116690000.000000000000000,117783296.247302532196045,15246,-1,15246,2,x111y44
13278,-128.250000000000000,52.375000000000000,-128.125000000000000,52.250000000000000,-128.187500000000000,52.312500000000000,118117141.454945027828217,116490000.000000000000000,118117141.454945027828217,14894,-1,14894,2,x111y43
